               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078332,             0.11414,            0.019628,             0.71894,             0.39252,             0.30431,             0.10546,            0.060252,            0.073817,            0.012893,            0.070312,           0.0032986,           0.0032986
                   1,            0.059751,            0.098979,            0.013045,             0.33718,             0.64433,             0.49501,             0.19095,            0.055959,            0.066462,            0.012299,            0.040293,            0.006612,            0.006612
                   2,            0.058097,            0.095108,            0.012556,             0.50329,             0.61589,             0.55693,              0.2012,             0.04722,            0.066825,            0.012106,            0.010253,           0.0099055,           0.0099055
                   3,            0.051419,            0.093445,            0.012061,             0.45742,             0.64795,             0.53553,             0.21637,            0.047211,              0.0698,            0.011326,             0.00991,             0.00991,             0.00991
                   4,            0.047277,            0.093705,            0.011328,             0.63696,             0.68934,             0.66189,             0.28236,             0.04465,            0.067831,            0.010744,             0.00991,             0.00991,             0.00991
                   5,            0.045028,            0.091764,            0.011065,             0.62431,             0.69638,             0.67872,             0.22944,            0.047742,            0.066239,           0.0093357,             0.00988,             0.00988,             0.00988
                   6,            0.042333,            0.092688,           0.0097056,             0.76828,             0.77164,             0.78422,             0.33034,            0.043047,            0.066929,           0.0074087,             0.00985,             0.00985,             0.00985
                   7,            0.042463,            0.093776,           0.0080723,             0.82738,             0.77668,             0.82516,             0.34804,             0.04151,            0.067284,           0.0064065,             0.00982,             0.00982,             0.00982
                   8,            0.041685,            0.093328,           0.0071352,             0.84085,             0.82638,             0.85761,             0.39209,             0.03959,            0.066667,           0.0055822,             0.00979,             0.00979,             0.00979
                   9,            0.040174,            0.092041,           0.0069959,             0.84416,             0.82779,             0.86672,              0.3998,            0.038982,            0.065902,           0.0052651,             0.00976,             0.00976,             0.00976
                  10,            0.041173,            0.092233,           0.0064656,             0.83753,             0.83468,             0.86722,              0.4115,            0.039574,            0.065037,           0.0053262,             0.00973,             0.00973,             0.00973
                  11,            0.039893,            0.089371,            0.006318,             0.83687,             0.82932,             0.86671,             0.41199,            0.039182,            0.067039,           0.0050127,              0.0097,              0.0097,              0.0097
                  12,            0.039179,            0.091185,           0.0058771,             0.85961,             0.83637,             0.86809,             0.42689,            0.039323,             0.06625,           0.0046427,             0.00967,             0.00967,             0.00967
                  13,            0.039432,             0.09089,           0.0059666,             0.87838,             0.82352,             0.88023,             0.42505,            0.038977,            0.065501,           0.0044291,             0.00964,             0.00964,             0.00964
                  14,            0.038971,            0.088494,           0.0055131,             0.86681,             0.80965,              0.8789,             0.39983,            0.041009,             0.06523,           0.0048611,             0.00961,             0.00961,             0.00961
                  15,             0.03831,            0.089476,           0.0052063,             0.85026,             0.84023,              0.8852,             0.42631,            0.039712,            0.065827,           0.0041056,             0.00958,             0.00958,             0.00958
                  16,            0.038218,            0.091023,           0.0053156,             0.84882,               0.852,             0.89354,             0.43202,             0.03861,            0.065529,           0.0038666,             0.00955,             0.00955,             0.00955
                  17,            0.038864,             0.09048,            0.004937,             0.86514,             0.84356,             0.89762,             0.44704,            0.038367,            0.065484,           0.0039107,             0.00952,             0.00952,             0.00952
                  18,            0.038698,            0.087858,           0.0051475,             0.85296,             0.85058,             0.89879,             0.44004,            0.039388,            0.065036,           0.0037428,             0.00949,             0.00949,             0.00949
                  19,            0.037689,            0.089112,           0.0047716,             0.84711,             0.85888,             0.88743,             0.44045,             0.03851,             0.06564,           0.0038159,             0.00946,             0.00946,             0.00946
                  20,            0.038062,            0.089513,           0.0048673,             0.85512,             0.85499,             0.89565,             0.44946,            0.038009,            0.064844,           0.0037339,             0.00943,             0.00943,             0.00943
                  21,             0.03781,            0.091352,           0.0046943,             0.85384,              0.8527,             0.89444,             0.44258,            0.037963,            0.065419,           0.0041804,              0.0094,              0.0094,              0.0094
                  22,            0.037204,            0.087114,           0.0044014,              0.8654,             0.85003,             0.89678,             0.41574,            0.040308,            0.065608,           0.0037356,             0.00937,             0.00937,             0.00937
                  23,            0.038355,            0.089766,            0.004568,             0.86175,             0.85003,             0.89419,             0.42436,            0.039353,            0.066251,           0.0040901,             0.00934,             0.00934,             0.00934
                  24,             0.03738,            0.090595,           0.0046801,             0.87358,             0.86061,             0.89782,             0.43705,            0.038193,            0.064924,           0.0034425,             0.00931,             0.00931,             0.00931
                  25,             0.03758,             0.08698,           0.0044872,              0.8795,             0.84327,             0.89347,             0.41933,            0.039552,            0.065888,           0.0039645,             0.00928,             0.00928,             0.00928
                  26,            0.037255,             0.09007,           0.0045165,             0.86765,             0.86411,             0.89757,             0.44926,            0.037879,            0.065669,           0.0037704,             0.00925,             0.00925,             0.00925
                  27,            0.037202,            0.086672,           0.0044376,             0.85491,             0.84152,             0.88345,              0.4381,            0.038181,            0.065423,           0.0037463,             0.00922,             0.00922,             0.00922
                  28,            0.036786,            0.088814,           0.0043121,             0.87632,             0.82174,             0.88276,             0.43622,            0.038007,             0.06628,           0.0042145,             0.00919,             0.00919,             0.00919
                  29,            0.037005,            0.087373,           0.0042054,             0.86301,             0.86751,             0.90107,             0.45237,            0.038363,            0.065317,           0.0035338,             0.00916,             0.00916,             0.00916
                  30,            0.036831,            0.089585,           0.0041383,              0.8595,              0.8663,             0.89302,             0.41588,            0.039585,             0.06647,            0.003479,             0.00913,             0.00913,             0.00913
                  31,            0.037112,             0.08973,           0.0042587,             0.86518,             0.86097,             0.89693,             0.45123,            0.038127,            0.065211,           0.0036144,              0.0091,              0.0091,              0.0091
                  32,            0.036584,            0.088013,           0.0040388,              0.8666,             0.86571,             0.90636,             0.46053,              0.0377,            0.065843,           0.0033055,             0.00907,             0.00907,             0.00907
                  33,            0.036834,            0.086843,           0.0039763,             0.86365,             0.86248,             0.89805,              0.4513,            0.037897,            0.065339,           0.0036586,             0.00904,             0.00904,             0.00904
                  34,            0.036341,            0.087427,           0.0041405,             0.85184,             0.85063,             0.88949,             0.43309,            0.039368,            0.064963,            0.003489,             0.00901,             0.00901,             0.00901
                  35,            0.035865,            0.085107,           0.0039453,             0.84633,             0.86776,             0.90206,             0.45172,            0.038137,            0.065983,           0.0035546,             0.00898,             0.00898,             0.00898
                  36,            0.035959,            0.087594,           0.0040329,             0.86512,             0.84777,              0.9018,             0.45597,            0.037662,            0.065704,           0.0031775,             0.00895,             0.00895,             0.00895
                  37,            0.036269,            0.087102,           0.0039494,             0.85993,             0.87242,             0.90271,              0.4578,            0.038288,            0.065946,           0.0033098,             0.00892,             0.00892,             0.00892
                  38,             0.03631,            0.088197,           0.0041631,              0.8766,             0.85541,             0.90136,             0.44809,            0.038887,            0.066579,           0.0034636,             0.00889,             0.00889,             0.00889
                  39,            0.036561,            0.086116,            0.003951,             0.87199,             0.83876,             0.90578,              0.4636,            0.037696,            0.065648,           0.0034421,             0.00886,             0.00886,             0.00886
                  40,            0.036007,            0.085748,           0.0036992,             0.88057,             0.86244,             0.89951,             0.43234,            0.038547,            0.065432,           0.0035504,             0.00883,             0.00883,             0.00883
                  41,            0.035911,            0.089852,           0.0037634,             0.86024,              0.8703,              0.8989,             0.44585,            0.038592,            0.065539,           0.0034929,              0.0088,              0.0088,              0.0088
                  42,            0.036163,            0.087339,           0.0036685,             0.87427,             0.87252,             0.90857,             0.44826,            0.037582,            0.065441,            0.003575,             0.00877,             0.00877,             0.00877
                  43,            0.035745,            0.087714,           0.0038477,             0.85525,             0.85076,             0.89339,             0.45759,            0.037589,            0.066628,           0.0037212,             0.00874,             0.00874,             0.00874
                  44,            0.036107,            0.086207,           0.0035862,             0.87765,             0.84452,             0.88852,             0.42893,            0.039318,            0.065828,           0.0038408,             0.00871,             0.00871,             0.00871
                  45,            0.035456,            0.085852,           0.0037746,             0.86293,             0.86496,             0.90057,             0.45506,            0.038004,            0.065802,           0.0034471,             0.00868,             0.00868,             0.00868
                  46,            0.035492,            0.086769,           0.0036382,             0.87787,             0.86545,             0.90182,              0.4563,            0.037817,            0.066213,           0.0033747,             0.00865,             0.00865,             0.00865
                  47,            0.035378,            0.084736,           0.0036908,             0.86724,             0.85691,             0.89945,             0.45508,             0.03792,            0.065812,           0.0035607,             0.00862,             0.00862,             0.00862
                  48,            0.035382,            0.084853,           0.0035406,             0.86187,             0.87398,             0.89083,             0.44399,            0.037638,             0.06637,           0.0034825,             0.00859,             0.00859,             0.00859
                  49,            0.035237,            0.084695,           0.0037201,             0.87524,             0.85882,             0.90153,              0.4597,             0.03765,            0.066273,           0.0036132,             0.00856,             0.00856,             0.00856
                  50,            0.035584,              0.0846,           0.0033928,             0.86552,             0.87351,             0.89569,             0.44133,             0.03887,            0.066598,           0.0034267,             0.00853,             0.00853,             0.00853
                  51,            0.035232,            0.086339,           0.0036818,             0.86193,             0.86423,              0.8988,              0.4605,            0.037883,            0.066333,            0.003411,              0.0085,              0.0085,              0.0085
                  52,            0.035143,            0.085181,           0.0035145,             0.86084,             0.86463,             0.89382,             0.45345,            0.037714,              0.0655,           0.0033236,             0.00847,             0.00847,             0.00847
