               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098849,            0.036598,            0.016426,             0.01162,            0.010982,           0.0024276,          0.00064593,             0.07404,            0.017889,            0.012392,            0.070102,            0.003322,            0.003322
                   1,            0.088591,            0.037281,            0.015441,          0.00095592,             0.08827,          0.00070264,          0.00018706,            0.079223,            0.093675,            0.012311,            0.040072,           0.0066253,           0.0066253
                   2,            0.081036,            0.035063,            0.015359,            0.014159,            0.098074,            0.006175,           0.0014225,            0.063346,            0.022071,            0.012502,            0.010012,           0.0098987,           0.0098987
                   3,            0.074043,            0.033991,            0.015315,             0.19728,             0.23861,             0.11147,            0.037021,            0.048039,            0.021405,            0.011797,            0.009865,            0.009865,            0.009865
                   4,            0.067984,            0.033766,            0.015145,             0.22369,             0.28174,             0.15885,            0.060915,             0.04036,            0.015725,             0.01177,            0.009865,            0.009865,            0.009865
                   5,            0.064188,            0.032672,            0.015147,             0.26167,             0.28464,             0.19191,            0.078827,            0.041905,            0.014256,            0.011701,             0.00982,             0.00982,             0.00982
                   6,            0.062095,            0.031911,            0.015147,             0.25365,             0.35455,             0.23024,            0.096099,            0.040818,            0.014065,            0.011642,            0.009775,            0.009775,            0.009775
                   7,            0.060348,            0.031306,            0.014977,             0.29548,             0.40828,             0.27245,              0.1247,            0.037696,            0.013942,            0.011524,             0.00973,             0.00973,             0.00973
                   8,             0.05879,            0.030369,            0.014945,             0.29626,             0.42395,             0.27609,             0.12394,            0.035928,            0.014022,            0.011348,            0.009685,            0.009685,            0.009685
                   9,            0.057789,            0.030192,            0.014735,             0.31451,             0.40137,             0.29231,             0.13146,            0.036187,            0.013832,            0.011244,             0.00964,             0.00964,             0.00964
                  10,            0.057131,            0.030428,            0.014686,             0.30167,             0.47703,             0.31554,             0.14421,            0.035156,            0.013318,            0.011163,            0.009595,            0.009595,            0.009595
                  11,            0.056054,            0.029635,            0.014444,              0.3146,             0.49103,             0.31496,             0.14309,            0.034588,             0.01314,            0.011009,             0.00955,             0.00955,             0.00955
                  12,            0.055481,            0.029419,            0.014259,             0.33961,             0.54433,             0.35929,             0.17112,            0.033648,            0.012942,            0.010917,            0.009505,            0.009505,            0.009505
                  13,            0.054805,            0.029116,            0.014116,             0.33685,             0.54878,             0.37397,              0.1808,            0.033415,            0.012958,            0.010499,             0.00946,             0.00946,             0.00946
                  14,            0.054215,            0.028778,            0.014008,             0.32094,              0.5511,             0.36004,             0.17012,            0.033889,            0.013166,            0.010461,            0.009415,            0.009415,            0.009415
                  15,            0.054018,             0.02889,            0.013775,              0.3325,             0.53069,             0.37022,             0.17457,            0.033444,            0.013139,           0.0099014,             0.00937,             0.00937,             0.00937
