               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083861,            0.035572,            0.016166,             0.22952,             0.46628,             0.22671,            0.085867,            0.042166,            0.016336,            0.012278,             0.07021,             0.00331,             0.00331
                   1,            0.065259,            0.030158,            0.015117,             0.26398,             0.59762,             0.26769,             0.10123,            0.039054,            0.014967,            0.011977,             0.04019,           0.0066234,           0.0066234
                   2,            0.059641,            0.029642,             0.01462,             0.28497,               0.605,             0.29549,             0.12826,            0.036598,            0.015057,            0.011476,             0.01015,           0.0099168,           0.0099168
                   3,            0.056688,            0.030364,            0.014124,             0.32973,             0.62632,             0.34736,              0.1537,            0.033996,             0.01459,            0.010936,             0.00991,             0.00991,             0.00991
                   4,            0.052868,            0.028647,            0.013518,              0.3525,             0.59998,             0.37094,             0.17274,            0.032128,            0.014645,            0.010348,             0.00991,             0.00991,             0.00991
                   5,            0.051194,            0.029134,            0.013206,             0.33811,             0.62776,             0.36794,             0.17186,             0.03212,            0.014522,            0.010096,             0.00988,             0.00988,             0.00988
                   6,            0.050782,            0.028737,            0.012777,             0.39498,             0.65148,             0.45125,             0.22212,             0.03199,            0.014311,           0.0092869,             0.00985,             0.00985,             0.00985
                   7,             0.04985,            0.028906,            0.012637,             0.40764,             0.64573,             0.44313,             0.21575,            0.031282,            0.014091,           0.0092195,             0.00982,             0.00982,             0.00982
                   8,            0.049036,            0.028309,            0.012454,              0.3892,             0.63736,               0.416,             0.20385,            0.031945,            0.014531,           0.0091382,             0.00979,             0.00979,             0.00979
                   9,            0.048627,            0.028405,            0.012211,             0.41434,             0.62323,             0.47318,             0.23882,             0.03002,            0.013866,           0.0089606,             0.00976,             0.00976,             0.00976
                  10,            0.049063,            0.029006,            0.011982,             0.40135,             0.59475,             0.46111,             0.23253,            0.030291,            0.014278,           0.0087516,             0.00973,             0.00973,             0.00973
