epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7908,1.49849,2.45182,1.56112,0.34914,0.56108,0.33942,0.17815,1.3284,1.91841,1.61932,0.00332196,0.00332196,0.00332196
2,164.914,1.41917,1.95109,1.49623,0.38137,0.49689,0.38484,0.2081,1.41945,1.97431,1.73538,0.00663333,0.00663333,0.00663333
3,218.085,1.44643,1.84352,1.53635,0.3305,0.48926,0.37998,0.19742,1.64449,2.06357,1.98034,0.0099227,0.0099227,0.0099227
4,271.159,1.50461,1.79789,1.56991,0.36607,0.4847,0.36382,0.1865,1.62331,1.95902,1.94288,0.009901,0.009901,0.009901
5,323.807,1.486,1.69764,1.5777,0.3777,0.51867,0.41229,0.20983,1.56023,1.63798,1.86331,0.009868,0.009868,0.009868
6,376.558,1.47992,1.65534,1.57109,0.41639,0.52302,0.46322,0.25958,1.43153,1.54523,1.74592,0.009835,0.009835,0.009835
7,428.617,1.44606,1.59389,1.54808,0.42437,0.57193,0.47512,0.26198,1.43582,1.48419,1.7657,0.009802,0.009802,0.009802
8,480.843,1.42271,1.55699,1.5234,0.45227,0.56104,0.53028,0.29794,1.43364,1.37771,1.74103,0.009769,0.009769,0.009769
9,535.548,1.408,1.51774,1.52286,0.44975,0.60039,0.52752,0.30267,1.41937,1.40113,1.73748,0.009736,0.009736,0.009736
10,590.796,1.41698,1.50207,1.52062,0.46761,0.57756,0.53982,0.30948,1.39945,1.37819,1.72755,0.009703,0.009703,0.009703
11,645.228,1.40279,1.49052,1.51313,0.4529,0.61144,0.54759,0.31727,1.36781,1.32852,1.68724,0.00967,0.00967,0.00967
12,700.114,1.38087,1.4604,1.50247,0.45886,0.64052,0.55734,0.32559,1.35502,1.28808,1.66469,0.009637,0.009637,0.009637
13,756.125,1.37784,1.4438,1.50194,0.47814,0.61915,0.57205,0.33635,1.34823,1.29528,1.68638,0.009604,0.009604,0.009604
14,811.712,1.37045,1.41648,1.49233,0.49484,0.61142,0.58088,0.34034,1.34897,1.22613,1.67489,0.009571,0.009571,0.009571
15,867.996,1.36721,1.41767,1.49528,0.47858,0.62406,0.58602,0.34671,1.31139,1.2408,1.65459,0.009538,0.009538,0.009538
16,923.498,1.35139,1.38839,1.47618,0.49204,0.58076,0.57809,0.33887,1.30513,1.24599,1.62378,0.009505,0.009505,0.009505
17,978.277,1.35401,1.38655,1.47714,0.51191,0.61453,0.59411,0.34982,1.32565,1.22216,1.6458,0.009472,0.009472,0.009472
18,1033.35,1.33528,1.36078,1.46434,0.51674,0.58276,0.58945,0.34642,1.31471,1.25538,1.6445,0.009439,0.009439,0.009439
19,1087.88,1.34136,1.35004,1.46879,0.50149,0.64008,0.61311,0.36065,1.3025,1.16103,1.62302,0.009406,0.009406,0.009406
20,1143.57,1.3411,1.35026,1.46245,0.5148,0.61372,0.60136,0.35642,1.30456,1.20762,1.62875,0.009373,0.009373,0.009373
21,1198.83,1.32579,1.32704,1.4549,0.49721,0.62622,0.57368,0.3274,1.37079,1.33316,1.66617,0.00934,0.00934,0.00934
22,1253.61,1.33394,1.32742,1.45717,0.53241,0.63151,0.62028,0.36946,1.30048,1.16746,1.61619,0.009307,0.009307,0.009307
23,1309.16,1.32394,1.32098,1.45048,0.5378,0.63456,0.63831,0.37969,1.31074,1.12401,1.61003,0.009274,0.009274,0.009274
24,1364.15,1.31804,1.30434,1.4455,0.51845,0.63603,0.62515,0.37309,1.31908,1.14119,1.65022,0.009241,0.009241,0.009241
25,1420.06,1.29984,1.29774,1.44361,0.51801,0.65319,0.62096,0.37059,1.28766,1.151,1.6155,0.009208,0.009208,0.009208
26,1476.32,1.30702,1.29409,1.44798,0.50834,0.6525,0.63895,0.38322,1.2826,1.11109,1.60063,0.009175,0.009175,0.009175
27,1530.62,1.30774,1.28758,1.44883,0.52835,0.62051,0.61974,0.3692,1.30013,1.1192,1.62551,0.009142,0.009142,0.009142
28,1585.49,1.30066,1.28223,1.44009,0.53037,0.63155,0.63664,0.37856,1.28667,1.10968,1.60024,0.009109,0.009109,0.009109
29,1641.31,1.29784,1.28077,1.44082,0.53241,0.6592,0.64745,0.39089,1.27171,1.09561,1.61197,0.009076,0.009076,0.009076
30,1695.42,1.28735,1.25887,1.4337,0.55764,0.64576,0.65514,0.393,1.2689,1.08518,1.59985,0.009043,0.009043,0.009043
31,1751.32,1.28385,1.26375,1.43016,0.55841,0.64896,0.65324,0.39237,1.26784,1.07655,1.59269,0.00901,0.00901,0.00901
32,1806.42,1.28547,1.26382,1.43049,0.53738,0.66001,0.65218,0.39254,1.27949,1.05875,1.57424,0.008977,0.008977,0.008977
33,1861.74,1.28424,1.24607,1.42279,0.54142,0.68388,0.66673,0.40454,1.24572,1.03628,1.55168,0.008944,0.008944,0.008944
34,1916.18,1.28375,1.23624,1.42454,0.56973,0.64062,0.66141,0.40026,1.25262,1.05238,1.5638,0.008911,0.008911,0.008911
35,1972.36,1.27396,1.23582,1.42579,0.57056,0.66044,0.67222,0.40856,1.24795,1.03601,1.569,0.008878,0.008878,0.008878
36,2026.87,1.27307,1.23976,1.42565,0.56294,0.65443,0.66386,0.40172,1.24187,1.04614,1.56188,0.008845,0.008845,0.008845
37,2082.79,1.26546,1.22611,1.41307,0.57655,0.65706,0.68081,0.41046,1.24634,1.0268,1.56284,0.008812,0.008812,0.008812
38,2137.52,1.25869,1.20867,1.40961,0.56314,0.6693,0.66931,0.40521,1.25066,1.03208,1.58321,0.008779,0.008779,0.008779
39,2192.27,1.27154,1.21895,1.41298,0.57362,0.64455,0.66834,0.40611,1.25622,1.03858,1.57921,0.008746,0.008746,0.008746
40,2246.69,1.258,1.20984,1.40901,0.54433,0.6857,0.66447,0.40251,1.26038,1.04206,1.58114,0.008713,0.008713,0.008713
41,2301.88,1.24319,1.19072,1.40542,0.56336,0.67861,0.67328,0.40946,1.23934,1.00635,1.55899,0.00868,0.00868,0.00868
42,2357.03,1.264,1.20692,1.40016,0.55096,0.66936,0.67316,0.41298,1.23975,1.01156,1.55666,0.008647,0.008647,0.008647
